Temperature - (Celsius);Year;Statistics;Country;ISO3
-6.7109;1901;Jan;Austria;AUT
-7.0723;1901;Feb;Austria;AUT
0.29648;1901;Mar;Austria;AUT
5.51923;1901;Apr;Austria;AUT
10.0026;1901;May;Austria;AUT
13.7635;1901;Jun;Austria;AUT
15.3949;1901;Jul;Austria;AUT
14.3516;1901;Aug;Austria;AUT
11.4629;1901;Sep;Austria;AUT
7.59659;1901;Oct;Austria;AUT
-0.3593;1901;Nov;Austria;AUT
-0.9774;1901;Dec;Austria;AUT
-0.7073;1902;Jan;Austria;AUT
-2.1401;1902;Feb;Austria;AUT
0.8209;1902;Mar;Austria;AUT
6.09536;1902;Apr;Austria;AUT
5.88206;1902;May;Austria;AUT
11.7664;1902;Jun;Austria;AUT
14.4173;1902;Jul;Austria;AUT
14.1665;1902;Aug;Austria;AUT
11.2141;1902;Sep;Austria;AUT
6.10425;1902;Oct;Austria;AUT
-0.7481;1902;Nov;Austria;AUT
-4.1225;1902;Dec;Austria;AUT
-4.807;1903;Jan;Austria;AUT
0.11266;1903;Feb;Austria;AUT
2.96366;1903;Mar;Austria;AUT
2.13544;1903;Apr;Austria;AUT
9.95238;1903;May;Austria;AUT
12.348;1903;Jun;Austria;AUT
14.1113;1903;Jul;Austria;AUT
14.4466;1903;Aug;Austria;AUT
11.3651;1903;Sep;Austria;AUT
7.71416;1903;Oct;Austria;AUT
2.12045;1903;Nov;Austria;AUT
-2.8765;1903;Dec;Austria;AUT
-4.2659;1904;Jan;Austria;AUT
-1.208;1904;Feb;Austria;AUT
1.59914;1904;Mar;Austria;AUT
6.41847;1904;Apr;Austria;AUT
10.1637;1904;May;Austria;AUT
13.7469;1904;Jun;Austria;AUT
16.7682;1904;Jul;Austria;AUT
15.2631;1904;Aug;Austria;AUT
9.81248;1904;Sep;Austria;AUT
6.68842;1904;Oct;Austria;AUT
0.43584;1904;Nov;Austria;AUT
-1.6652;1904;Dec;Austria;AUT
-6.181;1905;Jan;Austria;AUT
-2.3873;1905;Feb;Austria;AUT
1.96702;1905;Mar;Austria;AUT
3.94984;1905;Apr;Austria;AUT
9.32006;1905;May;Austria;AUT
13.9327;1905;Jun;Austria;AUT
17.0334;1905;Jul;Austria;AUT
15.2688;1905;Aug;Austria;AUT
12.4483;1905;Sep;Austria;AUT
3.17041;1905;Oct;Austria;AUT
1.39541;1905;Nov;Austria;AUT
-1.7367;1905;Dec;Austria;AUT
-3.355;1906;Jan;Austria;AUT
-2.9951;1906;Feb;Austria;AUT
0.32227;1906;Mar;Austria;AUT
5.29903;1906;Apr;Austria;AUT
10.0366;1906;May;Austria;AUT
11.9463;1906;Jun;Austria;AUT
14.8926;1906;Jul;Austria;AUT
14.5981;1906;Aug;Austria;AUT
9.94728;1906;Sep;Austria;AUT
7.65986;1906;Oct;Austria;AUT
3.5216;1906;Nov;Austria;AUT
-4.7198;1906;Dec;Austria;AUT
-4.4411;1907;Jan;Austria;AUT
-4.5072;1907;Feb;Austria;AUT
-1.1204;1907;Mar;Austria;AUT
2.88852;1907;Apr;Austria;AUT
11.1885;1907;May;Austria;AUT
13.2645;1907;Jun;Austria;AUT
13.2518;1907;Jul;Austria;AUT
14.9402;1907;Aug;Austria;AUT
11.7667;1907;Sep;Austria;AUT
10.1457;1907;Oct;Austria;AUT
0.95336;1907;Nov;Austria;AUT
-1.3696;1907;Dec;Austria;AUT
-5.0312;1908;Jan;Austria;AUT
-2.0423;1908;Feb;Austria;AUT
-0.3345;1908;Mar;Austria;AUT
3.27616;1908;Apr;Austria;AUT
12.2075;1908;May;Austria;AUT
14.964;1908;Jun;Austria;AUT
14.7491;1908;Jul;Austria;AUT
13.0316;1908;Aug;Austria;AUT
9.83419;1908;Sep;Austria;AUT
6.59541;1908;Oct;Austria;AUT
-1.4754;1908;Nov;Austria;AUT
-3.4619;1908;Dec;Austria;AUT
-6.0182;1909;Jan;Austria;AUT
-5.7626;1909;Feb;Austria;AUT
-0.8151;1909;Mar;Austria;AUT
6.0515;1909;Apr;Austria;AUT
8.60705;1909;May;Austria;AUT
12.1969;1909;Jun;Austria;AUT
13.2745;1909;Jul;Austria;AUT
14.5855;1909;Aug;Austria;AUT
11.2569;1909;Sep;Austria;AUT
8.45908;1909;Oct;Austria;AUT
-0.177;1909;Nov;Austria;AUT
-0.8067;1909;Dec;Austria;AUT
-2.5533;1910;Jan;Austria;AUT
-0.7994;1910;Feb;Austria;AUT
1.56859;1910;Mar;Austria;AUT
4.67116;1910;Apr;Austria;AUT
9.007;1910;May;Austria;AUT
13.514;1910;Jun;Austria;AUT
13.2001;1910;Jul;Austria;AUT
13.9182;1910;Aug;Austria;AUT
9.58804;1910;Sep;Austria;AUT
7.46775;1910;Oct;Austria;AUT
0.00662;1910;Nov;Austria;AUT
0.41457;1910;Dec;Austria;AUT
-5.0403;1911;Jan;Austria;AUT
-2.7523;1911;Feb;Austria;AUT
1.40597;1911;Mar;Austria;AUT
4.69007;1911;Apr;Austria;AUT
9.72026;1911;May;Austria;AUT
12.5087;1911;Jun;Austria;AUT
16.6668;1911;Jul;Austria;AUT
16.4351;1911;Aug;Austria;AUT
12.5943;1911;Sep;Austria;AUT
6.95339;1911;Oct;Austria;AUT
3.22993;1911;Nov;Austria;AUT
-0.3535;1911;Dec;Austria;AUT
-4.0261;1912;Jan;Austria;AUT
0.2757;1912;Feb;Austria;AUT
3.48317;1912;Mar;Austria;AUT
3.67733;1912;Apr;Austria;AUT
9.90033;1912;May;Austria;AUT
13.479;1912;Jun;Austria;AUT
14.6905;1912;Jul;Austria;AUT
12.3638;1912;Aug;Austria;AUT
7.74809;1912;Sep;Austria;AUT
4.93389;1912;Oct;Austria;AUT
-1.5632;1912;Nov;Austria;AUT
-0.9186;1912;Dec;Austria;AUT
-3.9453;1913;Jan;Austria;AUT
-3.1064;1913;Feb;Austria;AUT
3.38552;1913;Mar;Austria;AUT
5.24898;1913;Apr;Austria;AUT
9.37097;1913;May;Austria;AUT
12.5345;1913;Jun;Austria;AUT
11.8438;1913;Jul;Austria;AUT
12.8879;1913;Aug;Austria;AUT
10.8099;1913;Sep;Austria;AUT
8.00172;1913;Oct;Austria;AUT
3.47305;1913;Nov;Austria;AUT
-1.5411;1913;Dec;Austria;AUT
-7.0691;1914;Jan;Austria;AUT
-1.9765;1914;Feb;Austria;AUT
2.08026;1914;Mar;Austria;AUT
6.8587;1914;Apr;Austria;AUT
8.80074;1914;May;Austria;AUT
11.8217;1914;Jun;Austria;AUT
13.7402;1914;Jul;Austria;AUT
14.8047;1914;Aug;Austria;AUT
10.3129;1914;Sep;Austria;AUT
6.24786;1914;Oct;Austria;AUT
0.72066;1914;Nov;Austria;AUT
-0.4362;1914;Dec;Austria;AUT
-2.8516;1915;Jan;Austria;AUT
-2.1635;1915;Feb;Austria;AUT
-0.0358;1915;Mar;Austria;AUT
4.79728;1915;Apr;Austria;AUT
11.3417;1915;May;Austria;AUT
14.771;1915;Jun;Austria;AUT
14.1651;1915;Jul;Austria;AUT
12.7752;1915;Aug;Austria;AUT
9.4757;1915;Sep;Austria;AUT
4.55684;1915;Oct;Austria;AUT
-1.1758;1915;Nov;Austria;AUT
1.16697;1915;Dec;Austria;AUT
0.15805;1916;Jan;Austria;AUT
-1.6972;1916;Feb;Austria;AUT
3.37398;1916;Mar;Austria;AUT
5.27868;1916;Apr;Austria;AUT
10.649;1916;May;Austria;AUT
11.2861;1916;Jun;Austria;AUT
14.3393;1916;Jul;Austria;AUT
14.0233;1916;Aug;Austria;AUT
9.62389;1916;Sep;Austria;AUT
6.46301;1916;Oct;Austria;AUT
2.78362;1916;Nov;Austria;AUT
0.0942;1916;Dec;Austria;AUT
-4.5783;1917;Jan;Austria;AUT
-5.9629;1917;Feb;Austria;AUT
-1.1801;1917;Mar;Austria;AUT
2.07377;1917;Apr;Austria;AUT
12.0042;1917;May;Austria;AUT
15.5214;1917;Jun;Austria;AUT
15.3051;1917;Jul;Austria;AUT
15.1741;1917;Aug;Austria;AUT
13.2092;1917;Sep;Austria;AUT
6.08847;1917;Oct;Austria;AUT
1.37196;1917;Nov;Austria;AUT
-4.8699;1917;Dec;Austria;AUT
-2.5533;1918;Jan;Austria;AUT
-1.8349;1918;Feb;Austria;AUT
1.78048;1918;Mar;Austria;AUT
7.00304;1918;Apr;Austria;AUT
10.8075;1918;May;Austria;AUT
10.6776;1918;Jun;Austria;AUT
14.1142;1918;Jul;Austria;AUT
13.894;1918;Aug;Austria;AUT
12.2599;1918;Sep;Austria;AUT
6.11953;1918;Oct;Austria;AUT
0.48428;1918;Nov;Austria;AUT
-0.03;1918;Dec;Austria;AUT
-1.2068;1919;Jan;Austria;AUT
-3.2163;1919;Feb;Austria;AUT
1.4638;1919;Mar;Austria;AUT
3.09758;1919;Apr;Austria;AUT
7.21454;1919;May;Austria;AUT
12.6839;1919;Jun;Austria;AUT
12.2365;1919;Jul;Austria;AUT
14.993;1919;Aug;Austria;AUT
12.9221;1919;Sep;Austria;AUT
4.67703;1919;Oct;Austria;AUT
-0.5822;1919;Nov;Austria;AUT
-2.004;1919;Dec;Austria;AUT
-0.366;1920;Jan;Austria;AUT
-0.1778;1920;Feb;Austria;AUT
3.6937;1920;Mar;Austria;AUT
7.36214;1920;Apr;Austria;AUT
12.3514;1920;May;Austria;AUT
12.0213;1920;Jun;Austria;AUT
15.3585;1920;Jul;Austria;AUT
13.0829;1920;Aug;Austria;AUT
11.8301;1920;Sep;Austria;AUT
5.67578;1920;Oct;Austria;AUT
-1.0448;1920;Nov;Austria;AUT
-1.5551;1920;Dec;Austria;AUT
0.69549;1921;Jan;Austria;AUT
-2.0047;1921;Feb;Austria;AUT
2.74379;1921;Mar;Austria;AUT
4.16943;1921;Apr;Austria;AUT
11.5963;1921;May;Austria;AUT
12.0504;1921;Jun;Austria;AUT
16.5765;1921;Jul;Austria;AUT
15.4981;1921;Aug;Austria;AUT
11.8495;1921;Sep;Austria;AUT
8.67805;1921;Oct;Austria;AUT
-1.2478;1921;Nov;Austria;AUT
-2.5989;1921;Dec;Austria;AUT
-4.9728;1922;Jan;Austria;AUT
-3.8248;1922;Feb;Austria;AUT
2.38227;1922;Mar;Austria;AUT
3.95205;1922;Apr;Austria;AUT
10.8504;1922;May;Austria;AUT
13.6814;1922;Jun;Austria;AUT
14.3717;1922;Jul;Austria;AUT
14.7145;1922;Aug;Austria;AUT
9.60298;1922;Sep;Austria;AUT
4.68121;1922;Oct;Austria;AUT
-0.5183;1922;Nov;Austria;AUT
-1.7172;1922;Dec;Austria;AUT
-2.4957;1923;Jan;Austria;AUT
-1.5364;1923;Feb;Austria;AUT
1.9038;1923;Mar;Austria;AUT
4.56396;1923;Apr;Austria;AUT
10.7998;1923;May;Austria;AUT
9.69117;1923;Jun;Austria;AUT
16.2083;1923;Jul;Austria;AUT
15.1087;1923;Aug;Austria;AUT
11.2031;1923;Sep;Austria;AUT
9.13394;1923;Oct;Austria;AUT
1.96562;1923;Nov;Austria;AUT
-3.3443;1923;Dec;Austria;AUT
-5.1979;1924;Jan;Austria;AUT
-4.8715;1924;Feb;Austria;AUT
-0.0537;1924;Mar;Austria;AUT
4.69366;1924;Apr;Austria;AUT
11.4748;1924;May;Austria;AUT
12.727;1924;Jun;Austria;AUT
14.6708;1924;Jul;Austria;AUT
12.1936;1924;Aug;Austria;AUT
12.1323;1924;Sep;Austria;AUT
7.03224;1924;Oct;Austria;AUT
0.81247;1924;Nov;Austria;AUT
-2.1498;1924;Dec;Austria;AUT
-1.8111;1925;Jan;Austria;AUT
0.36868;1925;Feb;Austria;AUT
-0.9336;1925;Mar;Austria;AUT
5.5981;1925;Apr;Austria;AUT
10.7142;1925;May;Austria;AUT
12.4595;1925;Jun;Austria;AUT
14.649;1925;Jul;Austria;AUT
14.2592;1925;Aug;Austria;AUT
9.46814;1925;Sep;Austria;AUT
6.98194;1925;Oct;Austria;AUT
0.63329;1925;Nov;Austria;AUT
-3.8404;1925;Dec;Austria;AUT
-3.6867;1926;Jan;Austria;AUT
1.86927;1926;Feb;Austria;AUT
1.49538;1926;Mar;Austria;AUT
6.7797;1926;Apr;Austria;AUT
8.82459;1926;May;Austria;AUT
11.0401;1926;Jun;Austria;AUT
14.0497;1926;Jul;Austria;AUT
13.888;1926;Aug;Austria;AUT
12.9331;1926;Sep;Austria;AUT
7.45048;1926;Oct;Austria;AUT
5.52564;1926;Nov;Austria;AUT
-2.4614;1926;Dec;Austria;AUT
-1.8157;1927;Jan;Austria;AUT
-2.9124;1927;Feb;Austria;AUT
2.937;1927;Mar;Austria;AUT
5.29663;1927;Apr;Austria;AUT
9.73337;1927;May;Austria;AUT
13.9252;1927;Jun;Austria;AUT
15.5433;1927;Jul;Austria;AUT
14.8171;1927;Aug;Austria;AUT
12.0139;1927;Sep;Austria;AUT
6.58857;1927;Oct;Austria;AUT
1.86718;1927;Nov;Austria;AUT
-4.1231;1927;Dec;Austria;AUT
-2.0593;1928;Jan;Austria;AUT
-1.068;1928;Feb;Austria;AUT
0.57751;1928;Mar;Austria;AUT
5.90761;1928;Apr;Austria;AUT
7.43577;1928;May;Austria;AUT
12.8095;1928;Jun;Austria;AUT
17.6706;1928;Jul;Austria;AUT
15.8034;1928;Aug;Austria;AUT
11.3092;1928;Sep;Austria;AUT
7.28626;1928;Oct;Austria;AUT
3.56549;1928;Nov;Austria;AUT
-3.5599;1928;Dec;Austria;AUT
-7.8;1929;Jan;Austria;AUT
-7.8334;1929;Feb;Austria;AUT
-0.1125;1929;Mar;Austria;AUT
2.74002;1929;Apr;Austria;AUT
10.8493;1929;May;Austria;AUT
13.2425;1929;Jun;Austria;AUT
15.9084;1929;Jul;Austria;AUT
15.4851;1929;Aug;Austria;AUT
13.0429;1929;Sep;Austria;AUT
7.96287;1929;Oct;Austria;AUT
2.79416;1929;Nov;Austria;AUT
-0.0493;1929;Dec;Austria;AUT
-1.6862;1930;Jan;Austria;AUT
-3.5085;1930;Feb;Austria;AUT
2.76913;1930;Mar;Austria;AUT
6.19273;1930;Apr;Austria;AUT
9.32681;1930;May;Austria;AUT
15.8757;1930;Jun;Austria;AUT
14.5817;1930;Jul;Austria;AUT
14.1267;1930;Aug;Austria;AUT
11.8561;1930;Sep;Austria;AUT
6.57714;1930;Oct;Austria;AUT
3.54707;1930;Nov;Austria;AUT
-2.2917;1930;Dec;Austria;AUT
-3.2511;1931;Jan;Austria;AUT
-3.4111;1931;Feb;Austria;AUT
-1.9996;1931;Mar;Austria;AUT
3.48889;1931;Apr;Austria;AUT
12.6491;1931;May;Austria;AUT
15.1482;1931;Jun;Austria;AUT
15.391;1931;Jul;Austria;AUT
13.7623;1931;Aug;Austria;AUT
7.9272;1931;Sep;Austria;AUT
5.63928;1931;Oct;Austria;AUT
1.97934;1931;Nov;Austria;AUT
-3.7262;1931;Dec;Austria;AUT
-2.0052;1932;Jan;Austria;AUT
-6.5821;1932;Feb;Austria;AUT
-2.0769;1932;Mar;Austria;AUT
4.65952;1932;Apr;Austria;AUT
10.2251;1932;May;Austria;AUT
12.1641;1932;Jun;Austria;AUT
15.8761;1932;Jul;Austria;AUT
16.9249;1932;Aug;Austria;AUT
14.9451;1932;Sep;Austria;AUT
7.02392;1932;Oct;Austria;AUT
2.10323;1932;Nov;Austria;AUT
-1.4885;1932;Dec;Austria;AUT
-5.831;1933;Jan;Austria;AUT
-2.8459;1933;Feb;Austria;AUT
1.83917;1933;Mar;Austria;AUT
4.41293;1933;Apr;Austria;AUT
8.28489;1933;May;Austria;AUT
10.8544;1933;Jun;Austria;AUT
15.2924;1933;Jul;Austria;AUT
15.0846;1933;Aug;Austria;AUT
11.4822;1933;Sep;Austria;AUT
6.97114;1933;Oct;Austria;AUT
0.85308;1933;Nov;Austria;AUT
-6.3831;1933;Dec;Austria;AUT
-3.281;1934;Jan;Austria;AUT
-2.504;1934;Feb;Austria;AUT
2.72579;1934;Mar;Austria;AUT
8.10623;1934;Apr;Austria;AUT
11.5522;1934;May;Austria;AUT
13.0193;1934;Jun;Austria;AUT
16.0757;1934;Jul;Austria;AUT
14.5958;1934;Aug;Austria;AUT
13.1668;1934;Sep;Austria;AUT
6.96032;1934;Oct;Austria;AUT
2.24289;1934;Nov;Austria;AUT
2.13797;1934;Dec;Austria;AUT
-5.6904;1935;Jan;Austria;AUT
-2.1066;1935;Feb;Austria;AUT
-0.4446;1935;Mar;Austria;AUT
4.61712;1935;Apr;Austria;AUT
8.21752;1935;May;Austria;AUT
15.3319;1935;Jun;Austria;AUT
15.5988;1935;Jul;Austria;AUT
14.4698;1935;Aug;Austria;AUT
11.8605;1935;Sep;Austria;AUT
7.96547;1935;Oct;Austria;AUT
2.4784;1935;Nov;Austria;AUT
-2.6656;1935;Dec;Austria;AUT
-0.1113;1936;Jan;Austria;AUT
-1.9198;1936;Feb;Austria;AUT
3.48203;1936;Mar;Austria;AUT
5.6544;1936;Apr;Austria;AUT
10.2585;1936;May;Austria;AUT
12.9749;1936;Jun;Austria;AUT
15.3607;1936;Jul;Austria;AUT
13.8143;1936;Aug;Austria;AUT
11.4516;1936;Sep;Austria;AUT
3.65523;1936;Oct;Austria;AUT
1.20937;1936;Nov;Austria;AUT
-1.9624;1936;Dec;Austria;AUT
-4.0286;1937;Jan;Austria;AUT
-0.7985;1937;Feb;Austria;AUT
1.75866;1937;Mar;Austria;AUT
4.85064;1937;Apr;Austria;AUT
12.0088;1937;May;Austria;AUT
14.5612;1937;Jun;Austria;AUT
15.0785;1937;Jul;Austria;AUT
14.311;1937;Aug;Austria;AUT
11.3427;1937;Sep;Austria;AUT
7.7877;1937;Oct;Austria;AUT
1.09009;1937;Nov;Austria;AUT
-3.4161;1937;Dec;Austria;AUT
-3.1623;1938;Jan;Austria;AUT
-2.5211;1938;Feb;Austria;AUT
3.95063;1938;Mar;Austria;AUT
1.80277;1938;Apr;Austria;AUT
8.49387;1938;May;Austria;AUT
14.8626;1938;Jun;Austria;AUT
15.0279;1938;Jul;Austria;AUT
14.7883;1938;Aug;Austria;AUT
11.2896;1938;Sep;Austria;AUT
7.94216;1938;Oct;Austria;AUT
3.73314;1938;Nov;Austria;AUT
-4.0382;1938;Dec;Austria;AUT
-1.6402;1939;Jan;Austria;AUT
-0.8388;1939;Feb;Austria;AUT
-1.5712;1939;Mar;Austria;AUT
7.86383;1939;Apr;Austria;AUT
8.11712;1939;May;Austria;AUT
13.643;1939;Jun;Austria;AUT
15.1184;1939;Jul;Austria;AUT
15.2321;1939;Aug;Austria;AUT
11.0617;1939;Sep;Austria;AUT
5.66452;1939;Oct;Austria;AUT
2.76078;1939;Nov;Austria;AUT
-4.5416;1939;Dec;Austria;AUT
-9.381;1940;Jan;Austria;AUT
-5.5494;1940;Feb;Austria;AUT
-0.0288;1940;Mar;Austria;AUT
5.66617;1940;Apr;Austria;AUT
8.86602;1940;May;Austria;AUT
13.1187;1940;Jun;Austria;AUT
14.0291;1940;Jul;Austria;AUT
12.5247;1940;Aug;Austria;AUT
11.5078;1940;Sep;Austria;AUT
6.91709;1940;Oct;Austria;AUT
3.05173;1940;Nov;Austria;AUT
-7.1688;1940;Dec;Austria;AUT
-6.2176;1941;Jan;Austria;AUT
-2.2619;1941;Feb;Austria;AUT
1.59481;1941;Mar;Austria;AUT
3.94311;1941;Apr;Austria;AUT
7.08645;1941;May;Austria;AUT
13.5102;1941;Jun;Austria;AUT
15.202;1941;Jul;Austria;AUT
13.6301;1941;Aug;Austria;AUT
10.0707;1941;Sep;Austria;AUT
5.89652;1941;Oct;Austria;AUT
-0.556;1941;Nov;Austria;AUT
-2.5447;1941;Dec;Austria;AUT
-10.316;1942;Jan;Austria;AUT
-6.1211;1942;Feb;Austria;AUT
0.78714;1942;Mar;Austria;AUT
4.46919;1942;Apr;Austria;AUT
10.2291;1942;May;Austria;AUT
13.0598;1942;Jun;Austria;AUT
14.3565;1942;Jul;Austria;AUT
15.2833;1942;Aug;Austria;AUT
14.7212;1942;Sep;Austria;AUT
9.67267;1942;Oct;Austria;AUT
0.47881;1942;Nov;Austria;AUT
-0.8343;1942;Dec;Austria;AUT
-5.1133;1943;Jan;Austria;AUT
0.0806;1943;Feb;Austria;AUT
3.25806;1943;Mar;Austria;AUT
6.68675;1943;Apr;Austria;AUT
9.74939;1943;May;Austria;AUT
11.8766;1943;Jun;Austria;AUT
15.015;1943;Jul;Austria;AUT
16.8204;1943;Aug;Austria;AUT
13.0705;1943;Sep;Austria;AUT
8.98086;1943;Oct;Austria;AUT
0.28228;1943;Nov;Austria;AUT
-1.4285;1943;Dec;Austria;AUT
-0.7746;1944;Jan;Austria;AUT
-4.2269;1944;Feb;Austria;AUT
-2.1619;1944;Mar;Austria;AUT
6.17708;1944;Apr;Austria;AUT
9.07188;1944;May;Austria;AUT
11.9377;1944;Jun;Austria;AUT
14.7335;1944;Jul;Austria;AUT
17.3901;1944;Aug;Austria;AUT
11.3372;1944;Sep;Austria;AUT
7.06924;1944;Oct;Austria;AUT
0.91349;1944;Nov;Austria;AUT
-3.7254;1944;Dec;Austria;AUT
-8.0089;1945;Jan;Austria;AUT
-0.0579;1945;Feb;Austria;AUT
2.92234;1945;Mar;Austria;AUT
6.4389;1945;Apr;Austria;AUT
11.847;1945;May;Austria;AUT
14.7397;1945;Jun;Austria;AUT
16.3429;1945;Jul;Austria;AUT
14.8493;1945;Aug;Austria;AUT
11.8314;1945;Sep;Austria;AUT
6.78755;1945;Oct;Austria;AUT
0.97452;1945;Nov;Austria;AUT
-1.5845;1945;Dec;Austria;AUT
-4.8967;1946;Jan;Austria;AUT
-0.4485;1946;Feb;Austria;AUT
2.87637;1946;Mar;Austria;AUT
8.31995;1946;Apr;Austria;AUT
12.4835;1946;May;Austria;AUT
13.4718;1946;Jun;Austria;AUT
16.4828;1946;Jul;Austria;AUT
15.6992;1946;Aug;Austria;AUT
13.1888;1946;Sep;Austria;AUT
4.91526;1946;Oct;Austria;AUT
1.24716;1946;Nov;Austria;AUT
-4.888;1946;Dec;Austria;AUT
-8.0682;1947;Jan;Austria;AUT
-5.3841;1947;Feb;Austria;AUT
1.92113;1947;Mar;Austria;AUT
8.02059;1947;Apr;Austria;AUT
11.9063;1947;May;Austria;AUT
14.9192;1947;Jun;Austria;AUT
16.7647;1947;Jul;Austria;AUT
15.9628;1947;Aug;Austria;AUT
14.7898;1947;Sep;Austria;AUT
6.18648;1947;Oct;Austria;AUT
3.35334;1947;Nov;Austria;AUT
-1.7851;1947;Dec;Austria;AUT
0.06393;1948;Jan;Austria;AUT
-2.5804;1948;Feb;Austria;AUT
3.15898;1948;Mar;Austria;AUT
6.91552;1948;Apr;Austria;AUT
11.8891;1948;May;Austria;AUT
12.2958;1948;Jun;Austria;AUT
13.1471;1948;Jul;Austria;AUT
14.8763;1948;Aug;Austria;AUT
12.4292;1948;Sep;Austria;AUT
7.66395;1948;Oct;Austria;AUT
2.21341;1948;Nov;Austria;AUT
-2.9354;1948;Dec;Austria;AUT
-1.7281;1949;Jan;Austria;AUT
-1.3243;1949;Feb;Austria;AUT
-0.8739;1949;Mar;Austria;AUT
8.0692;1949;Apr;Austria;AUT
10.0584;1949;May;Austria;AUT
12.0488;1949;Jun;Austria;AUT
15.087;1949;Jul;Austria;AUT
14.3721;1949;Aug;Austria;AUT
13.7069;1949;Sep;Austria;AUT
8.58863;1949;Oct;Austria;AUT
1.89974;1949;Nov;Austria;AUT
-0.4212;1949;Dec;Austria;AUT
-4.5463;1950;Jan;Austria;AUT
-0.314;1950;Feb;Austria;AUT
3.03924;1950;Mar;Austria;AUT
5.17782;1950;Apr;Austria;AUT
12.0508;1950;May;Austria;AUT
15.6363;1950;Jun;Austria;AUT
17.2708;1950;Jul;Austria;AUT
15.9338;1950;Aug;Austria;AUT
11.7263;1950;Sep;Austria;AUT
6.02021;1950;Oct;Austria;AUT
1.70845;1950;Nov;Austria;AUT
-3.0158;1950;Dec;Austria;AUT
-1.5688;1951;Jan;Austria;AUT
-0.384;1951;Feb;Austria;AUT
